FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle
1 0 82 142 167 172 75.9637565321
2 0 84 150 166 177 76.8659776936
3 0 91 146 162 181 75.0685828219
4 0 90 145 162 185 75.9637565321
5 0 91 142 159 188 77.6609127217
6 0 92 140 161 189 75.5297058999
7 0 91 138 162 191 75.5297058999
8 0 92 137 161 192 75.5297058999
9 0 94 138 158 194 76.3730051401
10 0 93 137 158 194 77.6609127217
11 0 93 133 159 195 75.5297058999
12 0 93 130 159 195 74.5778386813
13 0 93 130 160 195 74.5778386813
14 0 94 130 159 196 75.0685828219
15 0 93 130 161 194 72.7585406011
16 0 92 128 159 194 75.9637565321
17 0 93 129 159 194 74.0546040991
18 0 91 126 161 194 73.4956386182
