FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle
1 0 115 113 203 86 188.70222379
2 0 133 123 253 138 165.963756532
3 0 134 120 254 136 167.471192291
4 0 142 131 266 138 159.325575239
5 0 144 133 267 139 157.067899562
6 0 146 136 268 139 155.297569772
7 0 162 162 269 140 138.621484704
8 0 161 161 270 141 138.621484704
9 0 157 158 270 142 140.710593137
10 0 156 156 270 142 141.49934628
11 0 156 156 277 143 139.513988458
12 0 157 158 277 144 137.231174608
13 0 156 157 279 146 137.231174608
14 0 156 156 280 150 135.0
15 0 155 156 286 147 135.0
16 0 158 158 310 146 121.184974659
17 0 160 160 334 146 104.381394591
18 0 155 160 330 145 111.540975919
19 0 155 158 327 143 113.962488975
20 0 153 159 326 141 116.565051177
21 0 154 159 326 140 115.906508
22 0 149 158 325 140 119.744881297
23 0 140 157 324 140 126.326825952
24 0 133 154 323 140 131.308614014
25 0 130 152 324 140 133.152389734
26 0 126 150 325 140 135.909380449
27 0 118 146 325 140 141.14662566
28 0 120 148 327 140 138.576334375
29 0 120 148 329 140 137.726310994
30 0 122 149 330 140 135.939190946
31 0 119 149 330 141 136.789910608
32 0 114 145 330 141 140.355825043
33 0 113 146 330 141 141.14662566
