FrameNum MouseNum LeftX LeftY RightX RightY MouseAngle
1 0 315 268 316 359 276.340191746
2 0 325 279 317 304 278.285797024
3 0 330 287 330 286 282.528807709
4 0 331 291 329 292 283.116436125
5 0 334 300 332 303 286.189206257
6 0 333 303 328 307 285.091572679
7 0 337 307 327 314 287.19854122
8 0 337 309 326 317 287.15242174
9 0 336 307 323 319 285.851928154
10 0 334 306 320 319 284.36458245
11 0 335 305 316 323 283.360218445
12 0 339 298 320 317 284.808377039
